job_number,site,job_url,job_url_direct,title,company,location,date_posted,job_type,salary_source,interval,min_amount,max_amount,currency,is_remote,job_level,job_function,listing_type,emails,description,company_industry,company_url,company_logo,company_url_direct,company_addresses,company_num_employees,company_revenue,company_description,skills,experience_range,company_rating,company_reviews_count,vacancy_count,work_from_home_type
1,linkedin,https://www.linkedin.com/jobs/view/4278235184,,Data Analyst,Data Idols,"London, England, UK",2025-08-05,,,,,,,False,,,,,,,https://uk.linkedin.com/company/data-idols,,,,,,,,,,,,
2,linkedin,https://www.linkedin.com/jobs/view/4280120622,,Data Analyst,Propel Finance,,2025-08-05,fulltime,,,,,,True,associate,Analyst and Finance,,,"Propel Finance was established in 1996 to provide flexible and accessible finance to SMEs across the country. Now, more than 20 years on, Propel has grown to become one of the UK’s largest, independent finance houses. We have continued to deliver leading\\-edge finance solutions through a unique combination of teamwork and technology.
 



  





 From this continued success we are now looking to recruit a
 **Data Analyst** 
 to allow us to continue our exciting growth plans.
 



  





 Our aim is to take the service we offer to the next level, to push the boundaries of what’s available, and to create great customer experiences consistent with our values. Does that sound like something you’d like to be part of?
 



  





 As a key member of our team, you’ll be responsible for translating business requirements into practical data models, reports, and dashboards that deliver real insights
 




  





**Role responsibilities;** 



* **Stakeholder Engagement:** 
 Collaborate with key stakeholders across the business to understand their data needs, gather requirements, and provide clear insights that drive decision\\-making.
* **Data Modelling \\& Analysis** 
 : Design, develop, and maintain scalable data models to ensure data quality and accuracy, utilising SQL and Azure Synapse where necessary.
* **Dashboard Development:** 
 Build and maintain visually compelling and interactive dashboards in Tableau
* **Performance Monitoring \\& Reporting:** 
 Create detailed reports on portfolio performance, profitability, risk, and compliance metrics, and deliver them to relevant stakeholders.
* **ETL \\& Data Pipelines:** 
 Work with Data Engineers to develop and optimise data pipelines for extracting, transforming, and loading (ETL) large datasets from various sources into relevant data structures.
* **Data Governance:** 
 Ensure data is consistent, reliable, and stored securely
* **Continuous Improvement** 
 : Drive process improvements in analytics, reporting, and stakeholder communication.



  





**Key skills required;** 



* Experience working in a similar role, preferably in Financial Services sector
* Excellent SQL skills including writing complex queries, optimising performance and managing large datasets
* Strong experience in data visualisation with Tableau or PowerBi and ability to build interactive dashboards



  





**So, why would you want to work here?** 




  





 We have a great working environment and we’re an ambitious business. We achieve so much because of our people. Everyone in the business, no matter their team or role can shape the outcome, share ideas, make suggestions, and have their voice heard. It’s a truly collaborative place to work.
 



  





 At Propel, we embrace hybrid working and with modern offices in Newport, London and Manchester, plus a field\\-based sales team, you’ll never be too far away from colleagues.
 



  





 This is a remote role, with 1 day in the Newport as required, on every once per quarter.
 



  





**Benefits you can expect:** 




  




* 25 days annual leave \\+ bank holidays
* 2 additional days holiday after 5 years’ service
* Birthday day off
* Opt in Private Medical Insurance
* Subsidised gym membership at £18\\.75 a month
* Cycle to Work Scheme
* Electric Car Scheme
* Buy Annual Leave Scheme
* Half day seasonal shopping
* Auto enrolment pension – 3% employer contribution subject to eligibility
* Life Assurance 3 x basic salary
* Employee Assistance Programme available 24/7
* Company events and reward schemes



  





 We are proud to be a member of Stonewall’s Diversity Champions programme and are committed to improving workplace inclusion.
 



  





 The Curve Group is Propel’s outsource partner for Recruitment and a ""Data Processor"". The Curve Group will hold the information you submit but Propel will have access to it. You can find their privacy policy here: https://www.thecurvegroup.co.uk/privacy\\-policy/",Financial Services,https://uk.linkedin.com/company/propelfinance,https://media.licdn.com/dms/image/v2/D4E0BAQGVfGiKfsUozw/company-logo_100_100/company-logo_100_100/0/1697023312824/propelfinance_logo?e=2147483647&v=beta&t=cbmnviN-sF9OfQsM3C83US_Qp6v6lyPEd7BDIJQ1MqA,,,,,,,,,,,
3,linkedin,https://www.linkedin.com/jobs/view/4277743606,,Data Analyst,Fanatics,"Manchester, England, UK",2025-08-05,fulltime,,,,,,False,entry level,Information Technology,,,"**Job Description**
* Job Title:
* Reporting to:


 Data Analyst
   

  

 General Manager
   

  

* Purpose of the Role:


 Responsible for sourcing, processing and analysing data in relation to operations in order to derive actionable insights and opportunity identification. This role is responsible for supporting the delivery of all core operational metrics, including but not limited to: cost, efficiency, service level delivery and inventory accuracy.
   

  

 This role will undertake a series of projects to improve data visibility and utilisation within the operation, to support the delivery of key projects and improvements. This role requires a basis in understanding of operational processes strength in numerical understanding and logical reasoning, as well as the technical skills require to acquire, process, manipulate and analyse large data sets.
   

  

* Duties / Responsibilities:
* Leveraging analytical thinking to draw actionable insights from a variety of data sources, including presentation to stakeholders and senior leaders
* Implement Data Visualisation software to create Operations Dashboards
* Building reporting dashboards as necessary across projects and key metrics
* Building numerical models for operational use, including but not limited to: performance reports, operational forecasting and planning
* Conducting data and process deep dives alongside operational leaders to unpick complex operational issues
* Knowledge / Skills / Experience:
* Operational experience required, D2C/Warehousing experience highly beneficial
* Experienced in the application of Python to support data analysis
* Advanced ability to write SQL and navigate large database architectures
* Advanced understanding and use of excel, including Macros, VBA
* Structured and thorough in approach to analysing and presenting data
* Highly experienced in the use of data visualisation tools such as Power BI, Tableauand similar
* Demonstratable experience in deriving actionable insights from large data sets
* Experience in a variety of analytical methods, including but not limited to: statistical analysis, processing mapping, regression analysis and hypothesis testing
* Experienced in the creation of PowerPoint presentations to share results, insights and performance with stakeholders
* Key Stakeholders:
* Operational Leaders
* Site Leadership team
* Internal customers including, but not limited to, tech, retail and events teams, eComm team and Branding and Merch","Technology, Information and Internet",https://www.linkedin.com/company/fanatics-inc-,https://media.licdn.com/dms/image/v2/D4E0BAQGxucH72bG6hw/company-logo_100_100/B4EZbPpbY8HwAQ-/0/1747240466631/fanatics_inc__logo?e=2147483647&v=beta&t=YKMQsg2IGNqz1wOgmFy_v-x4QnZ1xDGAk81-DgiTR8g,,,,,,,,,,,
4,linkedin,https://www.linkedin.com/jobs/view/4277720057,,Data Analyst,IFRS Foundation,"London Area, United Kingdom",2025-08-04,fulltime,,,,,,False,mid-senior level,"Information Technology, Finance, and Human Resources",,,"**Status** 
 : 6 month Fixed Term Contract
 



**Reports to:** 
 Global Payroll Manager
 



**Works with:** 
 Finance Team
 



**Job Purpose** 




 Finance team: The role is to support the payroll team in managing and improving data quality, reconciliation and reporting during a period of high operational demand. The role is essential for ensuring accurate payroll reporting, supporting the rollout of a Global Payroll Provider and preparing for upcoming compliance requirements.
 



  





**Principal accountabilities** 




***Data Cleansing \\& Validation***



* Clean, structure, and validate large payroll data to ensure accuracy and consistency (both for current operations and during the roll out of the Global Payroll provider).
* Identify and correct anomalies in payroll and accounting data
* Collaborate with Payroll, HR and Finance teams to ensure data alignment, particularly within the HiBob platform.



***Reconciliations***



* Perform regular reconciliations between payroll records and general ledger accounts.
* Investigate and resolve discrepancies in payroll transactions and accounting entries.



***Budget \\& Variance Analysis, Reporting***



* Assist in preparing payroll\\-related budget forecasts.
* Analyse actual payroll costs against budgeted figures and explain variances.
* Provide monthly variance reports with actionable insights.
* Maintain year\\-to\\-date payroll reports and audit packs.
* Support audits and compliance checks with accurate data and documentation.
* Respond to ad hoc data requests from senior management and external auditors.
* Assist in preparing data and reports for the mandatory payrolling of Benefits in Kind (BiKs) starting April 2026\\.
* Process optimisation \\- Identify inefficiencies in workflows and streamline payroll processes



***UAT Testing – Global Payroll Project***



* Lead testing and reconciliation during parallel runs for the Global Payroll Provider rollout.



**Skills And Attributes** 



* Proven experience in data analysis within payroll or finance.
* Strong Excel and data manipulation skills; experience with HiBob is a plus.
* Familiarity with payroll systems, accounting principles, and compliance requirements.
* Analytical mindset with attention to detail.
* Ability to work collaboratively across departments.
* Experience supporting audits and compliance processes is desirable.
* Strong communication and documentation skills.



  





**Essential** 




**Qualifications and experience** 



* Strong proficiency in Microsoft Excel, including advanced functions (e.g. pivot tables, lookups, data validation).
* Experience working with large datasets and performing data cleansing, transformation and validation.
* **Solid understanding of payroll processes, accounting principles, and financial reconciliations** 
 .
* Familiarity with HRIS and payroll systems (e.g. HiBob, Moorepay, Papaya, Justworks or similar platforms).
* Demonstrated ability to produce clear, accurate and insightful reports for stakeholders.
* Experience supporting audits and compliance reporting.
* Strong analytical and problem\\-solving skills with high attention to detail.
* Excellent communication and interpersonal skills, with the ability to collaborate across departments.
* Ability to manage multiple priorities and meet deadlines in a fast\\-paced environment.



  





**Preferred** 



* Experience working within a global or multi\\-country payroll environment.
* Experience participating in system implementations or UAT testing phases.
* Ability to document processes and create user\\-friendly guides



  





**Application Closing Date:** 
 22nd August 2025
 



 Please note that while we have a closing date for this application, we reserve the right to interview candidates and potentially close the role early should we find a suitable candidate before the closing date.
 



  





***Help shape the future of reporting for global financial markets***




 The IFRS Foundation is a public interest, not\\-for profit organisation that sets corporate reporting standards for the capital markets globally. IFRS Accounting Standards are required for use by more than 140 countries whilst IFRS Sustainability Disclosure Standards are rapidly becoming the global baseline for sustainability disclosures worldwide.
 



 We are a highly diverse and inclusive organisation. Our 350\\+ staff come from more than 45\\+ different countries and are united in supporting the mission of the Foundation to bring transparency, accountability and efficiency to capital markets worldwide. With offices in London, Frankfurt, Montreal, Tokyo, Beijing and San Francisco, the Foundation is truly a global standard\\-setter.",Accounting,https://uk.linkedin.com/company/ifrs-foundation,https://media.licdn.com/dms/image/v2/C560BAQFB3PtmGHSM3Q/company-logo_100_100/company-logo_100_100/0/1671466347376/ifrs_foundation_logo?e=2147483647&v=beta&t=TEgeddD7veIoMJCiWK7N08roXr-eozH0-on-Fhvd-3I,,,,,,,,,,,
5,linkedin,https://www.linkedin.com/jobs/view/4277693344,,Junior Data Analyst,Arthur Recruitment,"London Area, United Kingdom",2025-08-04,fulltime,,,,,,False,mid-senior level,Information Technology,,,"**Job Title:** 
 Junior Data Analyst (Power BI / SQL)
 



**Location:** 
 London (Hybrid – 2 days onsite)
 



**Salary:** 
 £45,000 \\+ Benefits
 



**Job Type:** 
 Full\\-Time, Permanent
 



  





**Are you a data\\-driven thinker using Power BI and SQL?** 




 Looking for a collaborative environment where you can make a real impact while continuing to grow your skills?
 



  





 We’re hiring a
 **Data Analyst** 
 to join a growing team within a dynamic and forward\\-thinking Insurance services company with a global footprint. Reporting directly to the Group Data Lead, you’ll play a hands\\-on role in developing high\\-quality dashboards, reporting tools, and data solutions used by internal stakeholders and external clients.
 



  





**What You’ll Be Doing:** 



* Build and maintain
 **Power BI dashboards** 
 , including
 **externally\\-facing reports** 
 for clients and underwriting teams
* Write SQL queries to
 **extract, transform and support backend reporting**
* Collaborate with internal teams to
 **gather requirements** 
 and translate them into insightful visualisations
* Develop KPI dashboards and static reports (Excel, PowerPoint) for strategic insights
* Support client rollouts and help onboard data\\-driven solutions



  





**Tech Stack \\& Tools:** 



* Power BI (including
 **Paginated Reports** 
 )
* SQL
* Excel \\& PowerPoint
* Familiarity with Microsoft Fabric is a bonus



  





**Ideal Candidate:** 



* **1 years of experience** 
 in a Data Analyst or Reporting Analyst role
* Solid experience with
 **Power BI** 
 and confident using
 **SQL**
* Strong communication skills – able to work with both technical and non\\-technical teams
* A proactive, delivery\\-focused mindset – someone who takes ownership of tasks
* Keen to learn and develop in a
 **non\\-hierarchical, supportive environment**
* Comfortable working with
 **small to mid\\-sized datasets** 
 (this is not a big data role)



  





**What’s on Offer:** 



* Competitive salary (up to £45K)
* Hybrid working – 2 days per week in a central London office
* A supportive team with mentorship from senior data professionals
* Exposure to global teams across Europe, the US, and Asia
* An inclusive, values\\-led culture with strong ethical foundations



  





 If you're excited about leveraging your Power BI and SQL skills in a meaningful way and want to be part of a forward\\-thinking, global environment — apply today!",Insurance,https://uk.linkedin.com/company/arthurfinancial,https://media.licdn.com/dms/image/v2/C4E0BAQHw0ABCOcOdtA/company-logo_100_100/company-logo_100_100/0/1668596923722/arthurfinancial_logo?e=2147483647&v=beta&t=EJ91OMpYqtMd2__rP-5mRLh5s1jew5JePw9SurxqcWU,,,,,,,,,,,
6,linkedin,https://www.linkedin.com/jobs/view/4277571782,,Insights Analyst,AstraZeneca,"City Of London, England, UK",2025-08-01,temporary,,,,,,True,mid-senior level,Analyst and Information Technology,,,"**Role:** 
 Business Insights Analyst
 



**Role Type:** 
 Temporary – 6 Months – Full Time
 



**Location:** 
 London – St. Pancras – x3 Days On\\-Site per week / x2 days Working Remote
 



  





  





**Your New Company**




  





 As a Business Insights Analyst you will be working within the UK Oncology Insights and Analytics team to provide relevant insights and analysis to enable an optimal diagnosis of our business performance.
 



  





 In this regard, the Business Insights Analyst will be responsible for analysing different data sources (sales data, competitive insights, activity, etc.) to generate insights aimed at delivering competitive advantage. In addition, the incumbent will also contribute to critical business processes connected to data automation, brand planning and financial planning.
 



  





  





**Your New Role**




  




* Generate insights on patients, customers and NHS as well as brands, markets and TA by analysing multiple data sources to inform and influence business decisions
* Deliver performance analytics on priority brands by (1\\) identifying patterns within the data, (2\\) uncovering insights / brand opportunities and (3\\) articulate useful recommendations
* Support strategic planning and financial planning processes
* Support data and analytics automation processes
* Working closely with the BUs, develop a thorough understanding of current key business issues and provide solutions to support BU decision making
* Proactively identifies blind spots and opportunities in terms of unanswered business questions and insights
* Drive compliant processes according to AZ SoPs and Code of conduct



  





**Essential Skills**




  




* 3 to 5 years of experience in analytical or insights generation roles
* Analytical skills, strong excel \\+ power point skills
* Knowledge of NHS and the pharma industry – Oncology advantageous
* Ability to distil impactful insights out of different data
* Proven track record of working with senior stakeholders in a complex environment
* Self\\-starter who can face challenges with positive attitude



  





**Desirable Skills**




  




* Oncology knowledge / experience
* Experience with PowerBI
* Pharma Sales \\& Marketing experience



  





  





**WHY ASTRAZENECA?** 




  





 It's an exciting time to join AstraZeneca, a global business that's rapidly growing \\- there's a lot happening and even more to come. And we are a valued part of this journey. Respected partners across the business, we provide the platform that's going to power us to achieve more.
 



  





**So, what's next?** 




  





 Are you ready to bring new insights and fresh thinking to the table? Brilliant! We have one seat available, and we hope it's yours. Please apply with a copy of your CV.",Pharmaceutical Manufacturing,https://uk.linkedin.com/company/astrazeneca,https://media.licdn.com/dms/image/v2/C4E0BAQEuFlOA7pBVJw/company-logo_100_100/company-logo_100_100/0/1663748570969/astrazeneca_logo?e=2147483647&v=beta&t=BCPWjufeysrT_XeEdD2tojet6iz5xZQvJWlTjbqcDHw,,,,,,,,,,,
7,linkedin,https://www.linkedin.com/jobs/view/4277581023,,Data Analyst,CereCore,"England, United Kingdom",2025-08-01,,,,,,,False,,,,,,,https://www.linkedin.com/company/cerecore-tech,,,,,,,,,,,,
8,linkedin,https://www.linkedin.com/jobs/view/4279014230,,Data Analyst,Aspect,"London Area, United Kingdom",2025-08-01,fulltime,,,,,,False,entry level,Information Technology,,,"At
 **Aspect** 
 , we’re entering an exciting phase of growth. With over 15 years in the industry, thousands of customers served every month, and a reputation for 24/7 reliability, we’re scaling rapidly, and we know that smart, curious analysts will be key to our continued success.
 



  





 We’re looking for a
 **Data Analyst** 
 who’s ready to dive into real business challenges, support our teams with actionable insights, and grow their skills in a fast\\-paced, data\\-driven environment. You’ll work closely with experienced analysts, operators, and decision\\-makers, helping us improve efficiency, understand our customers, and unlock new growth opportunities.
 



  





 🔍 What You’ll Do:
 


* Analyze data from across the business to identify trends, uncover insights, and support day\\-to\\-day decision\\-making.
* Build and maintain reports and dashboards that track key performance metrics in areas like customer acquisition, retention, and operations.
* Assist with A/B tests, customer cohort analyses, and operational efficiency studies.
* Partner with teams across Product, Marketing, and Operations to support their data needs.
* Help improve data quality and accuracy across systems and processes.
* Learn and grow alongside a team that values curiosity, experimentation, and continuous improvement.



  





 ✅ What We’re Looking For:
 


* A degree in Data Science, Business Analytics, Statistics, Computer Science, Economics, or a related field.
* Solid understanding of SQL and Excel; familiarity with Python, R, or similar tools is a plus.
* Exposure to data visualization tools like Tableau, Power BI, or Looker (coursework, internships, or self\\-study welcome).
* Strong analytical mindset with attention to detail and a love for solving problems.
* Clear communication skills, you’re comfortable translating numbers into insights people can act on.
* Eagerness to learn, collaborate, and grow in a dynamic, fast\\-moving environment.
* Bonus: Interest in field services, logistics, or property maintenance.



  





 💡 Why Join Aspect?
 


* Be part of a company that’s growing fast—and bringing its people along for the ride.
* Get hands\\-on experience solving real business problems with data.
* Work with a supportive, experienced team that values mentorship and growth.
* Competitive compensation, benefits, and long\\-term opportunities.



  





 Apply now or reach out to learn more. Let’s grow together.",Facilities Services,https://uk.linkedin.com/company/aspect-maintenance-ltd,https://media.licdn.com/dms/image/v2/D4D0BAQE1UrqWjKrDBQ/company-logo_100_100/company-logo_100_100/0/1720603647515/aspect_maintenance_ltd_logo?e=2147483647&v=beta&t=j3Y-FE9oeaH-5-bgCe1VJPJoccqu5UJxJ3Ievy5UqNw,,,,,,,,,,,
9,linkedin,https://www.linkedin.com/jobs/view/4277587474,,Data Analyst,James Adams,"London Area, United Kingdom",2025-08-01,,,,,,,False,,,,,,,https://uk.linkedin.com/company/james-adams,,,,,,,,,,,,
10,linkedin,https://www.linkedin.com/jobs/view/4274626113,,Data Analyst,SR2 | Socially Responsible Recruitment | Certified B Corporation™,,2025-08-01,fulltime,,,,,,True,mid-senior level,Engineering and Information Technology,,,"**📊 Data Analyst \\| Financial Services \\| Hybrid (1 day per quarter onsite)** 




  





  





**Permanent \\| Competitive Salary** 




  





  





 An established and fast\\-growing financial services provider is seeking a
 **Data Analyst** 
 to support the next phase of its exciting growth. Operating at the intersection of technology and finance, this organisation delivers innovative solutions to businesses across the UK, with a strong focus on customer experience and data\\-driven decision making.
 



  





  





 As a key member of the data team, you'll play a pivotal role in transforming business requirements into meaningful, actionable insights through reporting, data modelling, and dashboard development.
 



  





  





**💼 What You'll Be Doing:** 



* **Stakeholder Engagement:** 
 Work closely with teams across the business to understand data needs and provide insights that directly impact strategy and operations.
* **Data Modelling \\& Analysis:** 
 Develop and maintain scalable, high\\-quality data models using
 **SQL** 
 and cloud\\-based platforms.
* **Dashboarding:** 
 Create visually compelling and interactive dashboards using
 **Tableau** 
 .
* **Performance Reporting:** 
 Monitor key financial, risk, and compliance metrics and present data clearly to relevant stakeholders.
* **ETL \\& Pipelines:** 
 Collaborate with Data Engineers to optimise data pipelines and ensure reliable data flow across systems.
* **Data Governance:** 
 Promote best practices around data integrity, accuracy, and secure storage.
* **Continuous Improvement:** 
 Identify opportunities to enhance reporting processes and analytical efficiency.



  





  





  





**✅ What We're Looking For:** 



* Proven experience in a similar
 **Data Analyst** 
 role, ideally within a
 **regulated environment, ideally** 
 financial services
* Strong
 **SQL** 
 skills – able to write complex queries and work with large, relational datasets
* Advanced
 **Tableau** 
 (Essential) expertise – comfortable building dashboards from scratch and interpreting insights for a non\\-technical audience
* Proficient with
 **Excel** 
 and general data manipulation techniques



  





  





  





**🌟 Why Join?** 




  





 This is a genuinely collaborative environment where every team member has the chance to shape outcomes and influence change. The business is ambitious, values\\-driven, and committed to using data to make a real difference — both internally and for its customers.
 



  





 You'll benefit from a flexible working model, a supportive culture, and the opportunity to contribute meaningfully to a company that’s scaling at pace.
 



  





**Location:** 
 Hybrid/Remote – with just
 **1 day per quarter** 
 required on\\-site in the south west.
 



  





**Ready to apply or learn more?** 
 Let’s have a confidential conversation.",IT Services and IT Consulting and Financial Services,https://uk.linkedin.com/company/sr2-socially-responsible-recruitment,https://media.licdn.com/dms/image/v2/D4E0BAQGCkBYNEr5h6g/company-logo_100_100/company-logo_100_100/0/1688630977339/sr2_socially_responsible_recruitment_logo?e=2147483647&v=beta&t=KJi8Q4M1VEZI8A-ClK5rPBQv1irfDeB15Yq3P2eXf9Y,,,,,,,,,,,
